codigo;latitude;longitude;altitude
SDOL;"12° 26' 29"" S";"56° 54' 25"" W";299 m
SWEH;"11° 39' 48"" S";"52° 51' 0"" W";330 m
SDXZ;"16° 55' 44"" S";"48° 41' 0"" W";1009 m
SDAR;"11° 52' 24"" S";"56° 16' 36"" W";359 m
SNYR;"5° 56' 52"" S";"56° 33' 17"" W";158 m
SIAZ;"15° 15' 35"" S";"54° 56' 40"" W";702 m
SIKO;"20° 51' 43"" S";"55° 38' 37"" W";244 m
SIKX;"11° 10' 34"" S";"57° 40' 8"" W";249 m
SSYQ;"22° 39' 17"" S";"48° 9' 0"" W";503 m
SWIJ;"14° 3' 3"" S";"45° 35' 36"" W";823 m
SIOO;"22° 1' 33"" S";"57° 54' 11"" W";83 m
SNPN;"21° 1' 49"" S";"50° 55' 33"" W";420 m
SWDY;"14° 45' 16"" S";"50° 22' 39"" W";358 m
SDOX;"7° 0' 55"" S";"49° 21' 58"" W";176 m
SDNQ;"9° 58' 50"" S";"67° 29' 28"" W";197 m
SNEY;"15° 45' 45"" S";"58° 48' 15"" W";239 m
SIPG;"14° 8' 17"" S";"51° 27' 59"" W";242 m
SSZK;"19° 21' 54"" S";"47° 21' 32"" W";1060 m
SIZR;"23° 20' 10"" S";"54° 30' 31"" W";388 m
SNAD;"3° 19' 36"" S";"46° 46' 36"" W";125 m
SJSA;"22° 47' 14"" S";"54° 35' 30"" W";372 m
SSTK;"12° 10' 7"" S";"45° 49' 1"" W";785 m
SDQA;"21° 55' 26"" S";"53° 56' 26"" W";298 m
SSQU;"20° 3' 53"" S";"55° 42' 6"" W";146 m
SJOX;"10° 35' 53"" S";"52° 33' 21"" W";340 m
SIKA;"23° 6' 38"" S";"54° 33' 29"" W";354 m
SWYH;"15° 17' 33"" S";"58° 18' 52"" W";300 m
SDSI;"7° 37' 39"" S";"45° 41' 34"" W";378 m
SJBU;"14° 40' 52"" S";"45° 59' 8"" W";930 m
SWFQ;"10° 23' 31"" S";"48° 40' 46"" W";259 m
SSWA;"10° 42' 24"" S";"52° 39' 16"" W";780 m
SDFH;"21° 26' 42"" S";"47° 22' 19"" W";707 m
SWLA;"11° 52' 56"" S";"58° 38' 2"" W";367 m
SIWR;"13° 48' 3"" S";"50° 29' 25"" W";280 m
SWZM;"11° 32' 29"" S";"56° 31' 15"" W";375 m
SWEU;"18° 8' 49"" S";"41° 42' 52"" W";337 m
SNAU;"5° 37' 7"" S";"45° 15' 56"" W";163 m
SIQY;"12° 37' 41"" S";"55° 56' 42"" W";385 m
SSAV;"21° 41' 27"" S";"57° 28' 27"" W";122 m
SDWU;"21° 42' 7"" S";"57° 44' 25"" W";91 m
SWLX;"15° 24' 45"" S";"58° 49' 45"" W";348 m
SDRD;"13° 46' 55"" S";"49° 5' 19"" W";386 m
SSJO;"19° 22' 35"" S";"57° 27' 10"" W";156 m
SSZA;"2° 59' 37"" N";"60° 41' 47"" W";84 m
SDGY;"20° 55' 39"" S";"50° 44' 35"" W";360 m
SWYM;"14° 38' 30"" S";"59° 27' 0"" W";290 m
SDZU;"22° 7' 21"" S";"52° 11' 52"" W";305 m
SJIS;"22° 4' 56"" S";"54° 12' 4"" W";330 m
SNAF;"21° 29' 53"" S";"50° 6' 4"" W";460 m
SICY;"5° 27' 48"" S";"49° 46' 22"" W";184 m
SJGZ;"22° 5' 24"" S";"52° 40' 30"" W";375 m
SJAR;"14° 31' 48"" S";"50° 24' 40"" W";298 m
SJAA;"13° 20' 33"" S";"53° 57' 17"" W";416 m
SIAR;"20° 10' 47"" S";"56° 33' 24"" W";125 m
SWTN;"15° 2' 46"" S";"58° 43' 45"" W";476 m
SIAO;"19° 37' 47"" S";"55° 15' 7"" W";455 m
SSBK;"17° 34' 58"" S";"54° 38' 27"" W";575 m
SIBA;"16° 56' 8"" S";"53° 34' 24"" W";826 m
SIJU;"11° 47' 26"" S";"58° 27' 22"" W";327 m
SSBA;"11° 11' 1"" S";"45° 56' 50"" W";783 m
SIDJ;"8° 56' 53"" S";"50° 30' 47"" W";246 m
SSRO;"13° 55' 24"" S";"45° 32' 51"" W";805 m
SWRZ;"14° 21' 5"" S";"56° 42' 49"" W";398 m
SNUD;"15° 47' 20"" S";"59° 1' 26"" W";281 m
SWAR;"13° 4' 52"" S";"51° 35' 16"" W";295 m
SWRH;"12° 42' 17"" S";"46° 9' 32"" W";885 m
SSXU;"21° 31' 24"" S";"56° 36' 42"" W";230 m
SDWH;"21° 11' 22"" S";"49° 56' 13"" W";440 m
SJBB;"9° 31' 30"" S";"49° 53' 12"" W";195 m
SSJD;"9° 31' 44"" S";"48° 46' 38"" W";348 m
SWQW;"10° 3' 4"" S";"56° 49' 56"" W";260 m
SSDI;"5° 39' 30"" S";"43° 42' 20"" W";178 m
SJFB;"8° 22' 58"" S";"46° 26' 32"" W";553 m
SSTP;"17° 58' 28"" S";"50° 19' 6"" W";485 m
